uri,title,year
https://hdl.handle.net/11245/3.1501,De stad haven en mouillie van Algiers neven desselfs kasteelen.,1784
https://hdl.handle.net/11245/3.1516,Exacta Hollandiae tabula /,1670
https://hdl.handle.net/11245/3.1519,Caarte ofte afteeckening van de rivier de Merwede van Gorichem af benedenwaarts etc.,1730
https://hdl.handle.net/11245/3.1525,Gorc[h]um : anno 1600 /,1600
https://hdl.handle.net/11245/3.153,"Nova ac verissima urbis St. Petersburg ab imperatore Russico Petro Alexii f. conditae, item fl. Nevae fossae iussu imp. Russ. factae ac regionis circumiacentis delineatio /",1720
https://hdl.handle.net/11245/3.1540,Comitatis Zelandiae nova descriptio : Anno 1636 /,1636
https://hdl.handle.net/11245/3.1568,Nova totius terrarum orbis geographica ac hydrographica tabula /,1606
https://hdl.handle.net/11245/3.1572,"Amsterdam, met aanwijzing der grachten, verdeeld volgens de 50 buurten met vermelding van derzelven bevolking en de sterfte aan mazelen in 1855 /",1855
https://hdl.handle.net/11245/3.1579,Gids voor wielrijders door Amsterdam : met graphische aanduiding der betreffende verordening ... overeenkomstig de bij de politie berustende kennisgevingen omtrent het inrijden van straten en stegen /,1896
https://hdl.handle.net/11245/3.1582,Plan de l'entreprise et de l'attacque de l'armée Francoise commandée par le mar.l De Villars sur le camp retranchée a Denain commandée par mylord Albemarle le 24 Juillet 1712 /,1712
https://hdl.handle.net/11245/3.1584,"Pascaert van 't eylandt Ceylon, voordesen Taprobana; bij de inwoonders genaemt Lankaun.",1720
https://hdl.handle.net/11245/3.1594,"West-Indische paskaert waer in de graden der breedde over wederzijden vande middellijn wassende so vergrooten dat die geproportioneert sijn tegen hunne nevenstaende graden der lengde : vertonende (behalven Europaes zuydelijckste) alle de zeekusten van Africa en America, begrepen in 't Octroy bij de H.M.H. Staten Generael der vereenichde Nederl. verleent aende Generale West Indische Compagnie : mitsgaders die van Peru en Chili inde groote Zuyd-Zee.",1660
https://hdl.handle.net/11245/3.1611,Novam hanc territorii Francofvrtensis tabulam,1640
https://hdl.handle.net/11245/3.1617,Terra Sancta quae in Sacris Terra Promissionis olim Palestina,1629
https://hdl.handle.net/11245/3.1619,"Edamvm vulgo Edam : Ampliss. Prudentiss. D.D. praetori, consulibus, scabinis, et senatui urbis Edamensis tabulam hanc d.d.d. J. Blaeu",1700
https://hdl.handle.net/11245/3.162,Nouveau plan de la ville et de la forteresse de St. Petersbourg /,1776
https://hdl.handle.net/11245/3.1620,"Les XVII provinces du Païs-Bas avec les terres contiguës : Carte la plus recente, la plus ample, et la plus exacte qui ait encore paru; on y trouve distinctement les villes, les villages, les châteaux, les forteresses, les abbaïes, cloîtres, couvents, etc. ... /",1720
https://hdl.handle.net/11245/3.1623,Amstelodamum celebre emporium forma plana.,1660
